Feelings	Functions	Attributes	Number
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 68.351021, Y Length = 74.881681, Height = 17.662745, Number of Points = 20.321831, Distribution Seed = 64.364177, Mesh Relaxation = 0.163785, Smooth Level = 1, 	763
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Amazement, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 91.508204, Y Length = 43.205934, Height = 63.212781, Number of Points = 67.687533, Distribution Seed = 80.192891, Mesh Relaxation = 0.717814, Smooth Level = 1, 	764
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 48.097427, Y Length = 96.361884, Height = 41.338879, Number of Points = 94.333922, Distribution Seed = 61.15513, Mesh Relaxation = 0.025585, Smooth Level = 2, 	765
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 36.847987, Y Length = 28.38957, Height = 52.449632, Number of Points = 14.001125, Distribution Seed = 28.855934, Mesh Relaxation = 0.745383, Smooth Level = 1, 	766
Pensiveness, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 39.32972, Y Length = 98.670417, Height = 15.840649, Number of Points = 59.919642, Distribution Seed = 85.678464, Mesh Relaxation = 0.79708, Smooth Level = 2, 	767
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 12.891708, Y Length = 66.61405, Height = 45.981945, Number of Points = 48.318087, Distribution Seed = 6.591247, Mesh Relaxation = 0.985134, Smooth Level = 1, 	768
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 12.912107, Y Length = 96.799121, Height = 72.147814, Number of Points = 70.566656, Distribution Seed = 14.544404, Mesh Relaxation = 0.842014, Smooth Level = 2, 	769
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 26.546665, Y Length = 92.675417, Height = 14.51949, Number of Points = 67.158398, Distribution Seed = 38.441621, Mesh Relaxation = 0.892278, Smooth Level = 2, 	770
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 72.546474, Y Length = 84.906987, Height = 58.314368, Number of Points = 21.176624, Distribution Seed = 50.766021, Mesh Relaxation = 0.377753, Smooth Level = 1, 	771
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 92.592276, Y Length = 27.45256, Height = 79.514597, Number of Points = 48.59171, Distribution Seed = 92.161056, Mesh Relaxation = 0.336998, Smooth Level = 2, 	772
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 38.506575, Y Length = 89.085976, Height = 16.632362, Number of Points = 81.911808, Distribution Seed = 92.595959, Mesh Relaxation = 0.490392, Smooth Level = 1, 	773
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 40.989503, Y Length = 49.740425, Height = 20.019131, Number of Points = 70.820764, Distribution Seed = 29.848966, Mesh Relaxation = 0.548596, Smooth Level = 1, 	774
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 61.287007, Y Length = 25.961906, Height = 59.473538, Number of Points = 28.845488, Distribution Seed = 1.449735, Mesh Relaxation = 0.912366, Smooth Level = 1, 	775
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 77.338909, Y Length = 74.500289, Height = 86.649062, Number of Points = 10.561843, Distribution Seed = 33.128443, Mesh Relaxation = 0.312013, Smooth Level = 1, 	776
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 46.390962, Y Length = 30.156005, Height = 87.298324, Number of Points = 68.116926, Distribution Seed = 22.833097, Mesh Relaxation = 0.995791, Smooth Level = 1, 	777
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 63.845715, Y Length = 25.381408, Height = 19.069377, Number of Points = 79.464214, Distribution Seed = 27.741928, Mesh Relaxation = 0.683155, Smooth Level = 1, 	778
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 68.318221, Y Length = 88.045184, Height = 94.235422, Number of Points = 91.263408, Distribution Seed = 41.644898, Mesh Relaxation = 0.556259, Smooth Level = 1, 	779
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 40.133283, Y Length = 55.530429, Height = 94.296793, Number of Points = 5.103139, Distribution Seed = 66.338727, Mesh Relaxation = 0.487902, Smooth Level = 1, 	780
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 70.922732, Y Length = 60.069743, Height = 78.278415, Number of Points = 98.765608, Distribution Seed = 31.185539, Mesh Relaxation = 0.024677, Smooth Level = 1, 	781
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 49.243407, Y Length = 49.741106, Height = 53.872567, Number of Points = 25.53821, Distribution Seed = 87.49453, Mesh Relaxation = 0.020877, Smooth Level = 1, 	782
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 51.992162, Y Length = 46.430034, Height = 51.197992, Number of Points = 81.56463, Distribution Seed = 89.867605, Mesh Relaxation = 0.334612, Smooth Level = 1, 	783
Pensiveness, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 22.620075, Y Length = 32.762087, Height = 88.269032, Number of Points = 54.295304, Distribution Seed = 84.412077, Mesh Relaxation = 0.287239, Smooth Level = 2, 	784
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 39.533849, Y Length = 47.7341, Height = 37.348281, Number of Points = 52.142913, Distribution Seed = 23.73967, Mesh Relaxation = 0.365559, Smooth Level = 2, 	785
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 24.752509, Y Length = 94.610185, Height = 66.896001, Number of Points = 67.575482, Distribution Seed = 7.87482, Mesh Relaxation = 0.309386, Smooth Level = 1, 	786
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 15.603242, Y Length = 72.068619, Height = 20.373677, Number of Points = 41.802203, Distribution Seed = 58.19923, Mesh Relaxation = 0.508901, Smooth Level = 2, 	787
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 50.319295, Y Length = 62.756001, Height = 76.246319, Number of Points = 89.560437, Distribution Seed = 37.526301, Mesh Relaxation = 0.9713, Smooth Level = 1, 	788
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 10.35405, Y Length = 69.189954, Height = 93.241786, Number of Points = 8.204856, Distribution Seed = 25.624247, Mesh Relaxation = 0.693854, Smooth Level = 1, 	789
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 21.653316, Y Length = 63.008207, Height = 14.49087, Number of Points = 30.1365, Distribution Seed = 78.449786, Mesh Relaxation = 0.457779, Smooth Level = 2, 	790
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 53.725764, Y Length = 63.209676, Height = 54.658911, Number of Points = 49.532577, Distribution Seed = 64.285752, Mesh Relaxation = 0.982784, Smooth Level = 1, 	791
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 28.303025, Y Length = 57.465085, Height = 60.601429, Number of Points = 47.993281, Distribution Seed = 92.737471, Mesh Relaxation = 0.113862, Smooth Level = 1, 	792
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 20.357137, Y Length = 74.530812, Height = 98.551434, Number of Points = 9.642482, Distribution Seed = 43.419797, Mesh Relaxation = 0.950774, Smooth Level = 1, 	793
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 18.24583, Y Length = 43.749254, Height = 46.615832, Number of Points = 11.65586, Distribution Seed = 14.201535, Mesh Relaxation = 0.994272, Smooth Level = 1, 	794
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 25.810486, Y Length = 97.400742, Height = 44.525716, Number of Points = 20.201258, Distribution Seed = 79.945604, Mesh Relaxation = 0.417182, Smooth Level = 1, 	795
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 25.622779, Y Length = 97.758816, Height = 34.029518, Number of Points = 37.299245, Distribution Seed = 45.149211, Mesh Relaxation = 0.951709, Smooth Level = 1, 	796
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 90.393715, Y Length = 25.482328, Height = 24.472483, Number of Points = 92.073349, Distribution Seed = 56.760222, Mesh Relaxation = 0.90406, Smooth Level = 1, 	797
Serenity, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 24.725572, Y Length = 83.395079, Height = 33.858624, Number of Points = 39.678766, Distribution Seed = 89.007036, Mesh Relaxation = 0.661132, Smooth Level = 2, 	798
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 93.249038, Y Length = 23.976034, Height = 61.276473, Number of Points = 23.444798, Distribution Seed = 34.534247, Mesh Relaxation = 0.203578, Smooth Level = 1, 	799
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 58.076907, Y Length = 77.829241, Height = 39.733964, Number of Points = 57.506581, Distribution Seed = 14.868154, Mesh Relaxation = 0.24892, Smooth Level = 1, 	800
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 69.085636, Y Length = 74.288698, Height = 78.230955, Number of Points = 23.036868, Distribution Seed = 55.983589, Mesh Relaxation = 0.967736, Smooth Level = 1, 	801
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 33.637834, Y Length = 19.224723, Height = 15.471521, Number of Points = 17.336808, Distribution Seed = 50.565222, Mesh Relaxation = 0.510937, Smooth Level = 2, 	802
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 50.488344, Y Length = 23.845617, Height = 91.085639, Number of Points = 10.087894, Distribution Seed = 72.640421, Mesh Relaxation = 0.910425, Smooth Level = 1, 	803
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 80.677421, Y Length = 20.144923, Height = 38.820484, Number of Points = 25.978345, Distribution Seed = 57.699925, Mesh Relaxation = 0.090584, Smooth Level = 1, 	804
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 62.924761, Y Length = 66.412366, Height = 37.927261, Number of Points = 91.031966, Distribution Seed = 55.820658, Mesh Relaxation = 0.526551, Smooth Level = 1, 	805
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 72.066738, Y Length = 67.634336, Height = 21.128363, Number of Points = 24.500296, Distribution Seed = 85.985348, Mesh Relaxation = 0.304417, Smooth Level = 1, 	806
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 36.564906, Y Length = 65.658346, Height = 46.868573, Number of Points = 44.629764, Distribution Seed = 4.499025, Mesh Relaxation = 0.277334, Smooth Level = 1, 	807
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 30.137042, Y Length = 85.355705, Height = 19.393088, Number of Points = 97.216686, Distribution Seed = 53.18289, Mesh Relaxation = 0.518054, Smooth Level = 2, 	808
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 57.341342, Y Length = 77.627598, Height = 41.755922, Number of Points = 73.62523, Distribution Seed = 66.258278, Mesh Relaxation = 0.885737, Smooth Level = 1, 	809
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 89.535789, Y Length = 48.436352, Height = 56.886825, Number of Points = 89.178627, Distribution Seed = 18.182611, Mesh Relaxation = 0.772269, Smooth Level = 1, 	810
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 52.810472, Y Length = 36.642691, Height = 73.422166, Number of Points = 58.251097, Distribution Seed = 47.117519, Mesh Relaxation = 0.867709, Smooth Level = 2, 	811
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 91.226136, Y Length = 98.807303, Height = 21.242067, Number of Points = 15.004762, Distribution Seed = 55.848543, Mesh Relaxation = 0.512062, Smooth Level = 1, 	812
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 83.001853, Y Length = 60.471928, Height = 64.407744, Number of Points = 70.872204, Distribution Seed = 86.317434, Mesh Relaxation = 0.101276, Smooth Level = 1, 	813
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 23.214923, Y Length = 42.33102, Height = 38.872754, Number of Points = 93.911484, Distribution Seed = 25.137671, Mesh Relaxation = 0.556482, Smooth Level = 1, 	814
Pensiveness, Joy, Ecstasy, Admiration, Trust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 21.324762, Y Length = 17.11328, Height = 27.655069, Number of Points = 67.985564, Distribution Seed = 21.651997, Mesh Relaxation = 0.980643, Smooth Level = 1, 	815
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 45.13378, Y Length = 69.205691, Height = 92.642286, Number of Points = 42.824647, Distribution Seed = 55.647114, Mesh Relaxation = 0.791454, Smooth Level = 1, 	816
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 47.186657, Y Length = 43.966173, Height = 76.536795, Number of Points = 50.114575, Distribution Seed = 7.092583, Mesh Relaxation = 0.884325, Smooth Level = 1, 	817
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 70.173361, Y Length = 45.416891, Height = 25.527622, Number of Points = 73.74656, Distribution Seed = 98.975038, Mesh Relaxation = 0.125083, Smooth Level = 2, 	818
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 95.31406, Y Length = 63.439842, Height = 74.760471, Number of Points = 95.684021, Distribution Seed = 97.83478, Mesh Relaxation = 0.42414, Smooth Level = 1, 	819
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 10.389348, Y Length = 13.846831, Height = 91.165306, Number of Points = 54.615679, Distribution Seed = 55.911015, Mesh Relaxation = 0.671152, Smooth Level = 1, 	820
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 60.705715, Y Length = 58.939651, Height = 16.391501, Number of Points = 78.371706, Distribution Seed = 76.309537, Mesh Relaxation = 0.641431, Smooth Level = 1, 	821
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 44.906989, Y Length = 17.324378, Height = 92.550377, Number of Points = 84.514683, Distribution Seed = 63.325215, Mesh Relaxation = 0.535912, Smooth Level = 2, 	822
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 52.362563, Y Length = 28.649732, Height = 69.89406, Number of Points = 98.50233, Distribution Seed = 71.768511, Mesh Relaxation = 0.361833, Smooth Level = 1, 	823
Serenity, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 32.872614, Y Length = 98.299231, Height = 95.820367, Number of Points = 7.080141, Distribution Seed = 20.197868, Mesh Relaxation = 0.240775, Smooth Level = 1, 	824
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 36.813476, Y Length = 19.091323, Height = 64.924422, Number of Points = 9.990164, Distribution Seed = 40.716977, Mesh Relaxation = 0.199493, Smooth Level = 2, 	825
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 99.564465, Y Length = 69.587395, Height = 19.299735, Number of Points = 73.124765, Distribution Seed = 87.854222, Mesh Relaxation = 0.143797, Smooth Level = 2, 	826
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 72.281884, Y Length = 82.491929, Height = 49.752328, Number of Points = 60.417527, Distribution Seed = 87.742108, Mesh Relaxation = 0.558284, Smooth Level = 1, 	827
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 16.7781, Y Length = 74.707491, Height = 87.262079, Number of Points = 90.653408, Distribution Seed = 7.249597, Mesh Relaxation = 0.496868, Smooth Level = 1, 	828
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 47.222739, Y Length = 17.577099, Height = 81.06712, Number of Points = 25.424098, Distribution Seed = 8.60915, Mesh Relaxation = 0.747198, Smooth Level = 2, 	829
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 55.907311, Y Length = 19.18536, Height = 62.582402, Number of Points = 46.486579, Distribution Seed = 10.655495, Mesh Relaxation = 0.815609, Smooth Level = 2, 	830
